,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,dem_08,rep_08,tot_08,dem_pct_08,rep_pct_08,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_08,dem_2p_08,rep_2p_08,lean_08,lean_12
57,CA-36,"Ruiz, Raul",(D),123795,103051,"237,370",52.2%,43.4%,107914,101156,212939,50.7,47.5,106662,99221,205882,,,226846,54.57226488454723,45.42773511545277,209070,51.61620509877075,48.38379490122925,205883,51.80709432056071,48.19290567943929,-1.8817531915828738,-0.3476571532390125
58,CA-37,"Bass, Karen",(D),236621,26608,"276,134",85.7%,9.6%,222329,33307,261858,84.9,12.7,220920,34900,255818,,,263229,89.89169126502019,10.108308734979808,255636,86.97092741241453,13.029072587585471,255820,86.35759518411383,13.64240481588617,32.66874767197025,35.007065160404764
59,CA-38,"Sanchez, Linda",(D),166224,68033,"248,224",67.0%,27.4%,149141,75780,229875,64.9,33.0,149451,84931,234381,,,234257,70.95796497009694,29.042035029903058,224921,66.30817042428231,33.6918295757177,234382,63.76385558617983,36.23614441382018,10.075008074036248,14.344308172272548
60,CA-39,"Royce, Ed",(R),140230,116782,"272,471",51.5%,42.9%,124108,133742,263530,47.1,50.8,130038,136203,266240,,,257012,54.561654708729556,45.43834529127045,257850,48.1318596082994,51.8681403917006,266241,48.842214384711596,51.15778561528841,-4.846633127431986,-3.8320026437103607
61,CA-40,"Roybal-Allard, Lucille",(D),135472,21077,"164,714",82.2%,12.8%,115637,23446,141918,81.5,16.5,104532,26940,131473,,,156549,86.53648378462974,13.463516215370266,139083,83.14244012568035,16.857559874319648,131472,79.50894487039065,20.491055129609347,25.820097358247068,31.17857787367059
62,CA-41,"Takano, Mark",(D),126197,68526,"206,961",61.0%,33.1%,114040,67314,185429,61.5,36.3,106168,69033,175184,,,194723,64.8084715210838,35.191528478916204,181354,62.882539122379434,37.117460877620566,175201,60.597827637970106,39.402172362029894,6.908980125826524,10.918676870369673
63,CA-42,"Calvert, Ken",(R),111103,143175,"268,305",41.4%,53.4%,96212,131438,232520,41.4,56.5,95868,116396,212287,,,254278,43.69351654488395,56.30648345511605,227650,42.263123215462336,57.73687678453767,212264,45.164512116986394,54.8354878830136,-8.524335395157188,-9.700739036547425
64,CA-43,"Waters, Maxine",(D),183434,39039,"234,060",78.4%,16.7%,173342,44485,222219,78.0,20.0,167919,49935,217853,,,222473,82.45225263290376,17.547747367096232,217827,79.57783011288775,20.422169887112247,217854,77.07868572530226,22.921314274697732,23.389838213158683,27.61396786087799
65,CA-44,"Barragan, Nanette",(D),164251,24261,"197,802",83.0%,12.3%,155459,24995,183586,84.7,13.6,139744,27930,167671,,,188512,87.13026226447123,12.869737735528771,180454,86.14882463120796,13.851175368792045,167674,83.3426768610518,16.657323138948197,29.653829348908218,34.1849623791982
66,CA-45,"Walters, Mimi",(R),162449,144713,"325,967",49.8%,44.4%,133114,169489,309399,43.0,54.8,147400,161933,309327,,,307162,52.88707587527103,47.11292412472897,302603,43.989649805190304,56.010350194809696,309333,47.65091341693256,52.34908658306744,-6.037934095211021,-7.9742124468194575
67,CA-46,"Correa, Lou",(D),119762,50403,"180,750",66.3%,27.9%,95479,56252,155493,61.4,36.2,91533,61164,152692,,,170165,70.37992536655598,29.62007463344401,151731,62.9264949153436,37.0735050846564,152697,59.94420322599658,40.05579677400342,6.255355713853,10.962632663333842
68,CA-47,"Lowenthal, Alan",(D),161743,80162,"258,320",62.6%,31.0%,147456,92010,245624,60.0,37.5,145900,99061,244971,,,241905,66.86219797027759,33.137802029722415,239466,61.57700884467941,38.42299115532059,244961,59.56050146758055,40.43949853241945,5.871653955436969,9.61314659266965
69,CA-48,"Rohrabacher, Dana",(R),152035,146595,"317,328",47.9%,46.2%,133103,169249,309496,43.0,54.7,147986,163308,311299,,,298630,50.91082610588353,49.08917389411647,302352,44.02253003122188,55.97746996877812,311294,47.538982441036445,52.461017558963555,-6.149865071107136,-7.941332220787878
70,CA-49,"Issa, Darrell",(R),159081,135576,"314,011",50.7%,43.2%,134447,153856,294468,45.7,52.2,146748,142719,289469,,,294657,53.988535823007766,46.011464176992234,288303,46.63392333759968,53.36607666240032,289467,50.695934251572716,49.304065748427284,-2.992913260570866,-5.329938914410079
71,CA-50,"Hunter, Duncan",(R),115864,159822,"292,878",39.6%,54.6%,102649,165104,273289,37.6,60.4,108562,160217,268770,,,275686,42.02752406723591,57.97247593276409,267753,38.337198836240866,61.66280116375914,268779,40.390804341112954,59.60919565888704,-13.298043171030628,-13.626663415768896
