"GEO_ID","NAME","P002001","P002002","P002003","P002004","P002005","P002006",
"Geography","Label for GEO_ID","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file",
"5001600US3614","Congressional District 14 (116th Congress), New York","717708","717669","717669","0","39","0",
"5001600US3615","Congressional District 15 (116th Congress), New York","717708","717708","717708","0","0","0",
"5001600US3616","Congressional District 16 (116th Congress), New York","717707","717707","717707","0","0","0",
"5001600US3617","Congressional District 17 (116th Congress), New York","717708","706251","706251","0","11457","0",
"5001600US3618","Congressional District 18 (116th Congress), New York","717707","584759","518160","66599","132948","0",
"5001600US3619","Congressional District 19 (116th Congress), New York","717708","262057","149251","112806","455651","0",
"5001600US3620","Congressional District 20 (116th Congress), New York","717708","636501","607499","29002","81207","0",
"5001600US3621","Congressional District 21 (116th Congress), New York","717707","303612","156861","146751","414095","0",
"5001600US3622","Congressional District 22 (116th Congress), New York","717708","412622","275721","136901","305086","0",
"5001600US3623","Congressional District 23 (116th Congress), New York","717707","341322","124814","216508","376385","0",
"5001600US3624","Congressional District 24 (116th Congress), New York","717707","522564","419580","102984","195143","0",
"5001600US3625","Congressional District 25 (116th Congress), New York","717707","685570","669799","15771","32137","0",
"5001600US3626","Congressional District 26 (116th Congress), New York","717707","714453","714453","0","3254","0",
"5001600US3627","Congressional District 27 (116th Congress), New York","717707","416568","259062","157506","301139","0",
"5001600US3701","Congressional District 1 (116th Congress), North Carolina","733499","461358","310324","151034","272141","0",
"5001600US3702","Congressional District 2 (116th Congress), North Carolina","733499","460796","366171","94625","272703","0",
"5001600US3703","Congressional District 3 (116th Congress), North Carolina","733498","412520","207971","204549","320978","0",
"5001600US3704","Congressional District 4 (116th Congress), North Carolina","733499","688485","688485","0","45014","0",
