District,Biden,Trump,Clinton,Trump,Bachelor's,Rank,White Bachelor's,Rank,Median Income,Rank,White Income,Rank
NJ-06,59.0,39.7,57.9,38.9,41.5,97,43.3,145,"$100,440",56,"$106,264",64
NJ-07,51.1,47.3,45.2,50.8,53.6,24,54.6,51,"$131,419",10,"$130,259",18
NJ-08,72.1,26.8,75.7,21.4,39.0,128,57.8,41,"$78,229",181,"$106,965",61
NJ-09,58.9,40.0,60.7,36.7,32.9,201,40.4,177,"$77,469",183,"$89,536",162
NJ-10,80.6,18.6,81.7,16.3,31.5,224,50.1,82,"$67,939",268,"$99,251",91
NJ-11,57.8,40.9,53.8,43.0,58.1,18,61.0,30,"$128,233",13,"$132,226",15
NJ-12,66.6,32.1,64.1,32.7,48.5,49,52.4,69,"$109,146",34,"$108,302",58
NM-01,55.9,41.5,47.4,39.5,38.0,137,47.2,111,"$66,579",287,"$76,247",253
NM-02,51.9,46.1,47.6,41.5,22.8,383,34.3,260,"$53,550",411,"$62,865",394
NM-03,54.4,43.6,49.9,39.5,25.6,331,41.8,159,"$58,790",375,"$71,891",296
NV-01,53.2,44.7,52.0,42.0,24.1,355,30.8,310,"$63,781",322,"$73,814",279
NV-02,43.1,54.1,39.2,52.5,28.2,284,31.8,299,"$79,687",166,"$81,288",215
NV-03,52.4,45.7,50.5,43.8,33.3,194,37.5,212,"$75,550",192,"$81,612",211
NV-04,53.0,44.8,52.3,41.8,20.0,417,25.4,391,"$70,338",243,"$76,018",256
NY-01,49.5,49.3,44.0,51.9,46.8,61,49.6,86,"$126,171",14,"$132,154",16
NY-02,48.7,50.2,44.8,51.4,31.6,222,36.3,229,"$113,994",31,"$116,601",41
NY-03,53.6,45.4,50.8,45.7,51.5,31,53.2,64,"$129,730",12,"$132,569",13
