District,Code,Total Population by Race,,,,,,Voting Age Population by Race,,,,,,Total Citizen Population by Race,,,,,,Citizen Voting Age Population by Race,,,,,,Total Population (Hispanics/Latinos include any race),,,,,,,Total Voting Age Population (Hispanics/Latinos include any race),,,,,,,Citizen Population (Hispanics/Latinos include any race),,,,,,,Citizen Voting Age Population (Hispanics/Latinos include any race),,,,,,
,,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Black,Hispanic or Latino,Asian,Native American,Pacific Islander
Tennessee's 4th,TN-04,78.7,10.8,7.0,2.3,0.9,0.0,81.0,10.0,5.6,2.2,1.0,0.1,80.9,11.0,5.0,2.0,0.9,0.0,83.5,10.2,3.3,1.8,1.0,0.0,"771,865","607,550","83,220","54,195","18,085","7,095",360,"592,615","480,025","59,540","33,320","13,140","5,730",325,"746,400","603,730","81,815","37,555","14,620","7,085",230,"571,215","477,160","58,345","19,010","10,250","5,720",200
Tennessee's 5th,TN-05,72.2,14.1,8.4,4.5,0.6,0.0,74.8,13.5,6.7,4.2,0.6,0.0,75.8,14.3,5.9,3.2,0.6,0.0,79.0,13.7,3.8,2.7,0.7,0.0,"767,225","554,290","108,535","64,160","34,595","4,565",135,"584,520","437,280","79,065","39,410","24,310","3,705",90,"717,520","543,970","102,550","42,150","23,220","4,565",120,"542,570","428,630","74,150","20,445","14,910","3,705",75
Tennessee's 6th,TN-06,80.3,10.6,6.4,1.6,0.9,0.0,82.5,9.8,5.1,1.5,1.0,0.0,82.5,10.7,4.3,1.3,0.9,0.0,85.0,9.9,2.8,1.2,1.0,0.0,"773,165","620,645","82,010","49,355","12,745","7,025",270,"608,735","501,975","59,365","31,010","9,335","5,820",265,"748,345","617,735","80,255","32,185","9,770","7,015",270,"587,270","499,205","57,865","16,365","6,800","5,810",265
Tennessee's 7th,TN-07,71.3,17.9,6.9,2.6,1.0,0.1,73.5,16.9,5.7,2.6,1.0,0.1,72.8,18.1,5.6,2.0,1.1,0.1,75.3,17.2,4.2,2.0,1.1,0.1,"766,775","546,365","136,870","52,775","19,630","8,005","1,065","596,920","438,620","101,070","33,945","15,480","6,200",640,"745,395","542,485","135,140","41,760","15,125","7,955",835,"577,640","434,950","99,545","24,155","11,435","6,150",415
Tennessee's 8th,TN-08,74.6,18.7,3.4,2.4,0.8,0.0,76.5,17.7,2.7,2.1,0.8,0.0,75.6,18.9,2.7,1.8,0.8,0.0,77.7,18.0,1.8,1.4,0.9,0.0,"765,145","571,020","142,765","26,265","18,135","6,130",225,"592,780","453,635","105,140","16,020","12,400","4,990",200,"752,050","568,855","142,275","20,480","13,500","6,130",220,"581,090","451,750","104,800","10,705","8,270","4,990",195
Tennessee's 9th,TN-09,25.7,64.2,7.5,2.1,0.4,0.0,29.1,62.4,5.7,2.3,0.5,0.0,26.4,66.5,5.0,1.5,0.5,0.0,30.2,65.0,2.7,1.5,0.5,0.0,"767,305","197,220","492,235","57,580","16,150","3,390",95,"576,605","167,885","359,780","32,690","13,190","2,790",75,"735,635","194,460","489,085","37,025","11,000","3,390",95,"548,915","165,600","356,950","15,015","8,345","2,785",75
Texas' 1st,TX-01,61.3,18.8,17.1,1.4,1.1,0.1,64.8,18.4,14.2,1.4,1.2,0.1,64.0,19.5,14.0,1.2,1.2,0.1,68.4,19.2,10.1,1.0,1.2,0.1,"769,305","471,870","144,350","131,695","11,065","8,570",620,"583,560","378,255","107,085","82,780","8,065","6,720",465,"734,615","469,930","143,010","102,955","8,460","8,565",560,"550,740","376,495","105,875","55,375","5,700","6,715",405
Texas' 2nd,TX-02,52.0,11.8,30.5,4.6,0.7,0.1,55.4,11.8,27.3,4.7,0.7,0.1,55.9,12.8,26.5,3.7,0.7,0.1,60.7,13.0,21.6,3.6,0.8,0.1,"761,435","396,190","90,210","232,495","34,730","5,155",960,"547,390","303,060","64,350","149,300","25,550","4,040",675,"692,695","387,105","88,520","183,685","25,630","5,155",955,"486,340","295,430","63,035","105,090","17,695","4,040",670
Texas' 3rd,TX-03,58.7,11.3,15.4,13.4,0.9,0.1,61.6,10.4,14.0,12.8,0.9,0.1,62.4,11.7,13.9,10.6,0.9,0.1,66.5,10.9,11.8,9.5,1.0,0.1,"780,230","457,830","88,085","120,130","104,385","6,700",450,"576,380","355,005","60,040","80,775","73,785","5,015",405,"718,865","448,450","84,300","99,965","76,440","6,695",435,"521,740","347,055","56,845","61,815","49,340","5,010",390
Texas' 4th,TX-04,61.8,9.6,14.6,12.4,1.3,0.1,64.7,9.4,12.7,11.7,1.3,0.1,66.9,10.1,12.8,8.5,1.4,0.1,70.9,9.9,10.2,7.2,1.4,0.1,"773,350","477,985","74,005","113,105","95,740","9,790",455,"584,410","377,875","54,865","74,505","68,145","7,590",335,"703,305","470,285","70,790","90,060","59,740","9,720",440,"522,975","371,045","51,890","53,395","37,710","7,520",320
Texas' 5th,TX-05,48.6,15.4,30.0,4.7,1.0,0.0,53.2,14.6,26.1,4.8,1.1,0.0,53.0,16.3,25.1,4.2,1.1,0.0,59.5,15.7,19.2,4.3,1.2,0.0,"773,020","375,905","119,110","231,795","36,140","7,925",225,"576,470","306,695","84,385","150,590","27,725","6,285",210,"702,860","372,690","114,495","176,295","29,440","7,850",225,"510,835","303,735","80,325","98,090","21,725","6,205",210
Texas' 6th,TX-06,46.1,14.8,34.0,3.9,1.0,0.2,50.0,14.3,30.3,4.0,1.0,0.2,51.4,15.8,28.3,3.2,1.1,0.1,57.3,15.7,22.4,3.1,1.2,0.1,"763,185","351,495","112,740","259,325","29,895","7,270","1,605","565,410","282,630","81,115","171,545","22,660","5,680","1,285","677,760","348,275","107,195","192,065","21,360","7,235",885,"487,820","279,715","76,755","109,480","15,265","5,640",565
Texas' 7th,TX-07,27.8,20.6,31.0,19.8,0.5,0.0,30.1,19.7,29.4,20.1,0.5,0.0,32.9,22.4,25.5,18.3,0.7,0.0,37.0,21.9,21.9,18.4,0.7,0.0,"781,230","217,160","161,280","242,045","154,915","4,030",140,"607,440","182,645","119,790","178,675","122,010","3,205",100,"612,760","201,410","137,105","156,355","112,330","3,990",110,"457,450","169,125","100,030","100,260","83,995","3,165",70
Texas' 8th,TX-08,46.9,14.0,31.8,6.1,0.8,0.1,50.8,12.8,29.1,6.2,0.9,0.1,51.0,14.8,27.6,5.3,0.9,0.1,56.6,13.8,23.3,5.2,1.0,0.1,"771,640","362,115","107,870","245,515","47,185","6,265",545,"564,080","286,825","72,360","163,880","34,825","4,800",480,"698,910","356,710","103,610","193,150","36,830","6,260",505,"498,600","282,140","68,670","116,155","25,770","4,800",445
Texas' 9th,TX-09,13.8,36.9,38.6,9.9,0.4,0.0,15.2,38.0,35.6,10.7,0.4,0.0,15.7,43.0,32.1,8.4,0.5,0.0,18.1,46.2,25.9,9.1,0.6,0.0,"757,230","104,590","279,780","292,375","75,115","2,910",180,"560,750","85,015","212,805","199,350","60,155","2,455",180,"624,715","98,015","268,630","200,700","52,300","2,905",175,"441,020","79,730","203,890","114,080","40,205","2,450",175
Texas' 10th,TX-10,57.8,10.9,24.7,5.7,0.8,0.1,61.2,10.6,21.7,5.5,0.9,0.1,61.3,11.4,21.9,4.4,0.8,0.1,65.8,11.3,18.0,3.8,1.0,0.1,"765,080","441,915","83,040","188,720","43,820","6,035",425,"593,160","363,010","63,010","128,505","32,465","5,240",415,"711,620","436,015","81,115","155,890","31,080","5,990",425,"544,585","358,130","61,555","97,920","20,870","5,190",415
Texas' 11th,TX-11,43.4,12.1,40.8,2.3,0.9,0.2,47.3,11.4,37.6,2.4,0.9,0.2,45.6,12.5,38.5,1.9,0.9,0.2,50.5,11.9,34.3,1.9,1.0,0.2,"760,695","329,935","91,990","310,445","17,735","6,695","1,610","555,625","262,835","63,095","208,835","13,165","5,210","1,205","716,930","326,940","89,810","276,055","13,810","6,660","1,555","515,655","260,270","61,395","177,020","9,555","5,175","1,155"
Texas' 12th,TX-12,56.8,12.2,25.3,4.5,0.9,0.1,60.8,11.2,22.3,4.5,1.0,0.1,59.7,12.5,23.1,3.6,1.0,0.1,64.7,11.5,19.2,3.4,1.0,0.0,"771,855","438,385","94,345","194,985","34,810","7,185",870,"583,660","355,125","65,170","130,045","26,310","5,680",515,"727,040","433,955","90,545","167,610","25,970","7,145",565,"542,325","350,905","62,205","104,005","18,510","5,640",270
Texas' 13th,TX-13,59.6,7.5,28.5,2.9,1.3,0.1,63.2,7.3,25.2,2.8,1.4,0.1,63.3,7.4,25.5,2.1,1.4,0.1,67.9,7.3,21.1,1.9,1.5,0.1,"769,815","458,705","57,835","219,515","22,170","9,805",645,"585,810","370,240","42,680","147,625","16,175","7,940",505,"718,100","454,430","53,395","183,385","15,425","9,710",605,"539,285","366,330","39,490","113,995","10,510","7,850",465
Texas' 14th,TX-14,54.3,16.3,25.1,3.3,0.8,0.1,56.9,15.9,22.8,3.3,0.8,0.1,56.8,17.2,22.3,2.7,0.8,0.1,60.3,16.9,19.2,2.5,0.9,0.1,"768,075","416,720","125,385","192,910","25,350","5,925",860,"585,500","333,355","93,130","133,665","19,350","4,770",650,"726,045","412,745","124,595","162,010","19,260","5,875",665,"546,430","329,580","92,365","105,050","13,690","4,720",450
Texas' 15th,TX-15,14.8,1.3,82.2,1.3,0.3,0.0,17.1,1.4,79.6,1.4,0.4,0.1,17.3,1.5,79.6,1.1,0.4,0.0,21.1,1.7,75.4,1.3,0.5,0.0,"764,600","113,375","10,260","628,230","9,685","2,500",300,"542,710","92,815","7,860","431,790","7,655","2,115",300,"648,930","112,135","9,925","516,815","7,365","2,490",215,"434,910","91,735","7,590","327,775","5,515","2,115",215
Texas' 16th,TX-16,11.8,3.4,82.5,1.5,0.4,0.2,13.0,3.4,81.2,1.5,0.5,0.1,12.9,3.5,81.3,1.3,0.5,0.1,14.6,3.7,79.5,1.3,0.6,0.1,"771,490","91,170","26,010","636,140","11,280","3,410","1,210","569,050","73,905","19,545","462,195","8,510","2,785",830,"691,025","88,830","24,495","562,015","9,020","3,410",990,"492,575","71,970","18,210","391,400","6,330","2,785",610
Texas' 17th,TX-17,54.2,15.8,26.1,2.6,1.1,0.0,58.1,15.2,22.8,2.6,1.2,0.0,57.1,16.4,23.0,2.0,1.1,0.1,62.0,16.0,18.6,1.9,1.3,0.0,"777,095","421,085","122,570","203,115","19,935","8,340",385,"594,255","345,090","90,465","135,390","15,365","6,960",240,"731,905","418,235","119,990","168,685","14,710","8,320",375,"552,105","342,460","88,345","102,895","10,560","6,935",235
Texas' 18th,TX-18,17.0,32.5,44.5,5.1,0.5,0.1,19.8,32.8,41.0,5.6,0.5,0.1,19.6,38.0,36.7,4.7,0.6,0.1,23.7,39.7,30.5,5.3,0.7,0.1,"768,560","130,840","250,150","342,135","38,955","3,595",490,"574,465","113,645","188,575","235,345","32,395","3,050",350,"645,645","126,830","245,630","236,650","30,310","3,595",365,"464,650","109,890","184,465","141,605","24,445","3,050",235
Texas' 19th,TX-19,50.7,6.7,39.8,1.8,0.9,0.0,54.1,6.5,36.3,1.9,1.0,0.0,52.9,6.7,37.9,1.3,0.9,0.0,57.1,6.5,33.8,1.3,1.1,0.0,"766,170","388,170","51,170","304,555","13,930","6,845",345,"577,305","312,515","37,510","209,670","10,905","5,810",225,"723,590","383,065","48,450","274,350","9,425","6,830",320,"539,300","308,165","35,190","182,400","6,890","5,795",200
Texas' 20th,TX-20,17.3,6.3,72.0,3.8,0.4,0.1,19.1,6.1,70.3,3.8,0.5,0.1,18.4,6.7,71.7,2.5,0.4,0.1,20.8,6.6,69.3,2.5,0.5,0.1,"797,035","137,540","49,825","573,665","29,940","3,230",525,"590,850","112,615","35,785","415,440","22,540","2,705",385,"724,830","133,065","48,295","519,600","17,910","3,220",515,"525,780","109,245","34,465","364,600","13,095","2,695",385
Texas' 21st,TX-21,59.6,4.0,32.3,2.9,0.8,0.1,62.7,3.8,29.5,2.8,0.8,0.1,61.6,4.1,30.6,2.5,0.8,0.1,65.1,3.9,27.5,2.3,0.9,0.1,"764,785","455,670","30,440","246,970","22,435","6,120",785,"595,860","373,480","22,615","175,795","16,950","5,025",650,"732,825","451,080","30,020","224,530","17,960","6,120",785,"567,400","369,285","22,210","155,925","12,990","5,025",650
Texas' 22nd,TX-22,42.3,11.7,30.2,14.8,0.6,0.1,44.9,11.3,28.4,14.6,0.6,0.1,45.6,12.5,28.2,12.6,0.7,0.1,49.4,12.3,25.6,11.9,0.7,0.0,"781,040","330,215","91,360","235,930","115,980","4,635",485,"566,420","254,085","64,115","160,850","82,645","3,420",315,"697,650","317,995","87,425","196,960","88,190","4,605",410,"496,940","245,330","60,950","127,075","59,095","3,390",235
Texas' 23rd,TX-23,28.1,4.0,64.3,2.6,0.7,0.1,30.5,4.2,61.6,2.7,0.8,0.1,30.1,4.2,62.2,2.3,0.8,0.1,33.4,4.6,58.5,2.3,0.8,0.1,"745,530","209,295","29,545","479,365","19,210","5,345",580,"549,345","167,385","23,085","338,185","14,580","4,195",560,"687,790","207,030","29,075","427,855","15,960","5,280",555,"494,630","165,325","22,615","289,235","11,600","4,130",540
Texas' 24th,TX-24,62.9,8.3,17.9,9.4,0.9,0.2,66.2,7.7,15.9,8.8,0.9,0.2,66.7,8.4,15.7,7.8,0.9,0.2,71.1,7.9,12.9,6.8,1.0,0.2,"756,185","475,925","62,865","135,175","71,450","6,650","1,405","567,660","375,880","43,990","90,410","49,810","4,985","1,205","702,150","467,990","58,925","110,185","54,640","6,630","1,140","519,735","369,710","40,840","66,835","35,140","4,965",940
Texas' 25th,TX-25,60.1,12.6,22.2,3.7,0.9,0.2,63.2,11.9,19.7,3.8,1.0,0.2,63.1,12.7,19.8,2.9,1.0,0.2,67.2,12.0,16.4,2.9,1.0,0.2,"778,250","467,560","98,120","172,650","29,015","7,040","1,280","593,300","374,915","70,570","116,785","22,760","5,705",995,"734,475","463,545","93,420","145,210","21,565","6,990","1,195","552,530","371,280","66,515","90,580","16,020","5,685",905
Texas' 26th,TX-26,59.4,10.1,18.9,10.3,0.9,0.1,62.4,9.5,16.9,10.0,1.0,0.1,63.3,10.6,16.8,8.0,1.0,0.1,67.6,9.9,14.0,7.3,1.1,0.1,"775,735","461,080","78,720","146,720","79,825","7,230",730,"585,655","365,650","55,470","99,260","58,500","5,610",510,"719,050","455,140","75,920","120,835","57,840","7,230",675,"533,240","360,220","52,865","74,635","38,800","5,610",455
Texas' 27th,TX-27,37.0,4.6,55.7,1.7,0.7,0.1,40.3,4.6,52.4,1.8,0.8,0.1,38.8,4.8,54.1,1.4,0.8,0.1,42.7,4.9,50.1,1.3,0.8,0.1,"768,205","284,480","35,280","428,120","13,405","5,690",530,"582,290","234,555","26,900","305,130","10,270","4,605",450,"729,650","282,760","35,090","394,880","10,020","5,685",530,"546,015","232,885","26,735","273,810","7,175","4,600",450
Texas' 28th,TX-28,17.9,4.5,75.9,1.1,0.4,0.0,20.1,4.7,73.4,1.2,0.5,0.0,19.9,5.0,73.5,1.1,0.4,0.0,23.1,5.4,69.7,1.2,0.5,0.0,"764,120","136,975","34,430","579,815","8,690","2,975",250,"546,025","109,640","25,800","400,955","6,615","2,505",250,"682,460","135,800","33,875","501,275","7,375","2,975",220,"468,845","108,470","25,355","326,615","5,455","2,505",220
Texas' 29th,TX-29,8.1,12.6,76.5,2.5,0.3,0.1,9.8,12.9,74.1,2.8,0.3,0.1,10.3,15.8,71.0,2.6,0.3,0.1,13.5,17.7,65.3,3.0,0.5,0.1,"774,020","62,625","97,195","591,940","19,545","2,085",505,"547,205","53,365","70,730","405,470","15,435","1,880",470,"606,090","62,140","95,565","430,135","15,745","2,085",345,"392,725","52,940","69,370","256,525","11,850","1,880",320
Texas' 30th,TX-30,18.4,41.4,36.0,3.4,0.6,0.0,22.2,41.6,31.6,3.8,0.7,0.0,20.1,45.6,30.4,3.1,0.6,0.0,25.0,47.2,23.6,3.4,0.8,0.0,"771,990","142,240","319,750","277,820","26,490","4,345",325,"572,055","127,045","238,035","180,545","21,790","4,005",195,"689,785","138,680","314,705","209,470","21,270","4,345",310,"496,115","123,850","233,935","116,885","16,840","4,005",180
Texas' 31st,TX-31,60.2,8.8,23.9,5.2,1.2,0.3,63.5,8.4,21.5,4.8,1.3,0.3,62.8,9.0,22.3,4.0,1.2,0.2,66.9,8.6,19.1,3.4,1.3,0.2,"780,860","470,325","68,565","186,720","40,235","9,265","2,045","587,215","372,870","49,200","126,055","27,980","7,365","1,540","739,135","463,820","66,655","164,750","29,480","9,230","1,555","549,265","367,520","47,450","105,170","18,435","7,355","1,185"
Texas' 32nd,TX-32,32.4,21.4,36.6,8.7,0.7,0.0,36.4,21.1,32.4,9.2,0.7,0.1,38.3,23.6,29.8,7.3,0.9,0.0,44.7,23.9,22.5,7.7,0.9,0.0,"758,895","245,800","162,230","277,815","66,115","5,470",305,"584,945","212,770","123,175","189,625","53,715","4,320",295,"621,590","238,010","146,650","185,345","45,335","5,420",185,"460,015","205,705","110,025","103,640","35,490","4,280",175
Texas' 33rd,TX-33,14.3,19.2,57.6,8.0,0.5,0.0,16.8,19.8,54.4,8.2,0.5,0.1,18.2,23.6,51.6,5.6,0.6,0.1,23.1,26.3,44.2,5.3,0.8,0.1,"776,065","111,305","149,285","447,345","61,845","3,545",380,"556,320","93,260","110,160","302,730","45,515","3,025",335,"593,785","107,885","140,330","306,150","33,415","3,545",335,"391,830","90,580","102,895","173,020","20,945","3,025",310
Texas' 34th,TX-34,7.5,0.5,91.1,0.6,0.2,0.0,9.2,0.6,89.3,0.6,0.2,0.0,8.6,0.6,90.1,0.4,0.2,0.0,11.1,0.7,87.3,0.5,0.3,0.0,"774,100","58,090","4,205","705,415","4,565","1,420",200,"537,800","49,295","3,165","480,350","3,450","1,285",200,"662,270","56,960","4,115","596,645","2,780","1,420",195,"432,320","48,180","3,075","377,480","2,100","1,285",195
Texas' 35th,TX-35,27.4,12.3,56.1,3.1,0.7,0.1,31.0,12.3,52.3,3.4,0.7,0.1,29.9,13.2,53.1,2.7,0.7,0.1,34.5,13.5,47.9,2.9,0.8,0.1,"768,500","210,730","94,635","431,305","24,170","5,165",560,"589,160","182,490","72,475","308,125","20,225","4,285",480,"689,545","205,835","91,200","366,355","18,560","5,165",560,"514,320","177,690","69,360","246,450","15,005","4,285",480
Texas' 36th,TX-36,50.3,12.5,31.8,4.5,0.7,0.0,54.2,12.4,28.0,4.4,0.8,0.0,53.9,13.3,28.0,3.8,0.8,0.0,59.1,13.5,22.8,3.6,0.8,0.0,"762,290","383,545","95,225","242,470","34,200","5,370",185,"569,630","308,945","70,840","159,480","25,195","4,340",180,"705,605","380,330","94,195","197,830","26,495","5,365",155,"517,770","306,190","69,840","118,150","18,510","4,335",145
Texas' 37th,TX-37,53.1,7.4,27.8,10.6,0.7,0.0,55.6,7.2,25.8,10.3,0.7,0.0,57.7,7.8,25.2,8.0,0.7,0.0,61.1,7.7,22.5,7.4,0.8,0.0,"767,540","407,550","56,495","213,630","81,080","5,055",275,"628,510","349,565","45,150","161,905","64,835","4,485",260,"684,190","395,020","53,290","172,380","54,830","5,030",275,"553,995","338,605","42,645","124,615","41,195","4,460",260
Texas' 38th,TX-38,51.1,10.7,26.6,10.8,0.6,0.0,54.1,10.0,24.4,10.7,0.6,0.0,55.0,11.6,23.3,9.2,0.7,0.0,59.3,10.9,20.1,8.8,0.7,0.0,"764,140","390,285","82,105","203,180","82,330","4,535",75,"569,545","308,195","56,895","139,075","60,835","3,450",65,"682,895","375,490","79,020","159,105","63,040","4,535",75,"498,595","295,900","54,355","100,065","43,730","3,450",65
Utah's 1st,UT-01,80.6,1.6,13.0,3.0,0.9,0.4,81.9,1.5,11.8,3.1,0.9,0.4,82.7,1.6,11.5,2.4,0.9,0.3,84.8,1.5,9.7,2.4,1.0,0.3,"822,010","662,200","13,245","107,200","24,850","7,550","3,075","593,615","486,230","9,035","69,880","18,570","5,575","2,350","795,270","657,855","12,485","91,750","19,330","7,490","2,525","568,910","482,315","8,320","55,275","13,665","5,525","1,850"
Utah's 2nd,UT-02,72.3,2.0,18.7,3.5,1.4,1.5,75.3,1.7,16.2,3.6,1.4,1.4,76.5,1.9,15.2,2.9,1.5,1.4,81.1,1.6,11.4,2.8,1.5,1.2,"823,540","595,155","16,545","154,280","28,650","11,445","12,510","599,955","451,930","10,335","97,350","21,310","8,305","8,160","771,815","590,730","14,765","117,225","22,335","11,380","10,535","551,920","447,755","8,645","62,815","15,655","8,240","6,355"
Utah's 3rd,UT-03,80.3,1.4,11.3,3.3,2.2,0.7,82.0,1.2,10.0,3.3,2.1,0.8,83.0,1.3,9.2,2.7,2.3,0.7,85.6,1.1,7.2,2.5,2.2,0.7,"813,370","653,000","11,190","92,315","26,965","17,605","6,065","593,770","486,820","6,940","59,600","19,720","12,630","4,585","777,965","646,050","10,005","71,595","21,030","17,540","5,580","561,625","480,790","5,950","40,485","14,315","12,565","4,110"
Utah's 4th,UT-04,76.9,1.4,15.4,3.5,0.8,1.0,78.1,1.2,14.6,3.6,0.8,1.0,80.5,1.4,12.5,2.8,0.9,1.0,83.1,1.2,10.6,2.8,0.9,0.9,"824,895","634,275","11,950","127,050","28,600","6,820","8,560","560,470","437,895","6,945","81,810","20,145","4,615","5,525","782,060","629,580","10,655","98,065","22,030","6,820","7,525","522,070","433,760","6,020","55,160","14,460","4,615","4,730"
Vermont's At-Large,VT-AL,92.3,1.8,2.1,2.4,1.1,0.0,93.1,1.5,2.0,2.2,1.1,0.0,93.2,1.6,2.1,1.8,1.1,0.0,94.0,1.3,1.9,1.6,1.1,0.0,"643,815","594,540","11,845","13,795","15,460","7,170",135,"527,000","490,890","7,810","10,375","11,505","5,825",110,"632,335","589,270","10,360","13,100","11,515","7,145",135,"516,775","485,990","6,640","9,725","8,055","5,805",110
Virginia's 1st,VA-01,72.9,14.2,5.1,6.6,0.8,0.0,74.7,13.7,4.3,6.2,0.8,0.0,74.7,14.5,4.5,5.0,0.8,0.0,77.0,14.1,3.5,4.3,0.9,0.0,"789,935","575,480","112,165","40,485","52,360","6,455",335,"613,300","458,305","84,200","26,315","37,845","5,160",255,"761,970","569,255","110,675","34,445","38,270","6,455",295,"588,100","452,590","83,090","20,720","25,150","5,160",220
Virginia's 2nd,VA-02,60.6,24.0,7.5,6.4,0.9,0.1,62.7,23.1,6.6,6.2,0.9,0.1,61.7,24.4,6.9,5.6,0.9,0.1,64.0,23.6,5.8,5.3,0.9,0.1,"783,085","474,405","187,915","59,065","50,075","6,690",480,"607,605","381,140","140,640","40,115","37,900","5,230",365,"761,545","469,535","185,910","52,500","42,280","6,670",420,"588,455","376,665","139,025","34,075","31,160","5,215",305
Virginia's 3rd,VA-03,40.7,45.9,8.0,3.8,1.0,0.1,43.6,44.1,7.0,3.9,0.9,0.1,41.5,46.9,7.0,3.1,1.0,0.1,44.6,45.2,5.8,3.1,1.0,0.1,"778,420","316,760","357,580","62,215","29,755","7,480",725,"606,130","264,270","267,270","42,645","23,350","5,665",540,"755,610","313,275","354,165","52,705","23,790","7,445",630,"585,685","261,160","264,505","33,930","17,915","5,645",445
Virginia's 4th,VA-04,42.9,44.6,8.6,2.7,0.9,0.1,45.7,43.1,7.3,2.8,1.0,0.1,44.3,46.2,6.0,2.3,0.9,0.1,47.3,44.7,4.6,2.3,1.0,0.1,"784,210","336,245","350,085","67,560","21,265","7,030",660,"631,345","288,735","272,120","46,060","17,520","6,020",515,"750,560","332,450","346,745","45,240","17,155","7,015",635,"602,490","285,095","269,180","27,490","13,885","6,005",490
Virginia's 5th,VA-05,70.5,22.1,4.0,2.5,0.7,0.1,72.1,21.2,3.4,2.5,0.7,0.1,71.7,22.4,3.1,1.9,0.7,0.0,73.5,21.5,2.3,1.8,0.7,0.0,"789,920","556,775","174,660","31,785","19,930","5,215",470,"638,550","460,295","135,645","21,480","15,830","4,425",385,"771,385","553,230","172,675","24,085","14,885","5,205",335,"621,795","457,110","133,940","14,595","11,110","4,410",250
Virginia's 6th,VA-06,80.1,9.6,7.3,2.1,0.6,0.1,82.5,8.7,5.9,2.1,0.6,0.1,82.5,9.5,5.4,1.7,0.7,0.1,85.2,8.7,3.7,1.6,0.6,0.1,"783,905","628,230","75,150","57,080","16,800","5,000",640,"624,715","515,245","54,205","37,085","13,055","3,900",540,"757,105","624,605","72,250","40,630","13,065","5,000",635,"600,970","511,965","52,195","21,995","9,775","3,900",530
Virginia's 7th,VA-07,53.5,22.4,16.5,6.1,0.8,0.1,56.1,21.8,14.8,6.0,0.8,0.1,56.7,22.9,13.5,5.3,0.8,0.1,60.1,22.4,10.9,5.1,0.9,0.1,"786,030","420,785","176,030","129,325","48,250","6,030",595,"589,200","330,255","128,325","87,015","35,460","4,750",475,"733,955","416,030","168,370","98,800","39,265","6,015",595,"542,665","326,050","121,400","59,345","27,870","4,745",475
Virginia's 8th,VA-08,51.9,14.5,19.1,13.6,0.5,0.1,54.0,14.0,17.3,13.7,0.5,0.1,57.3,14.7,15.0,11.9,0.6,0.1,60.7,14.2,12.2,11.8,0.6,0.1,"778,820","404,130","112,820","148,745","105,660","3,930",425,"614,920","332,290","86,045","106,630","84,070","3,345",340,"679,710","389,365","99,815","102,190","81,105","3,910",425,"526,215","319,255","74,825","64,225","62,260","3,325",340
Virginia's 9th,VA-09,88.0,6.6,2.8,1.9,0.5,0.1,88.8,6.2,2.4,1.9,0.5,0.1,89.0,6.6,2.3,1.4,0.6,0.1,89.9,6.3,1.8,1.3,0.6,0.1,"785,905","691,615","51,605","22,150","15,080","4,305",480,"642,535","570,505","40,070","15,175","12,415","3,490",415,"773,050","688,065","50,965","18,160","10,460","4,285",480,"630,900","567,420","39,560","11,365","8,240","3,470",415
Virginia's 10th,VA-10,54.9,10.0,17.7,16.4,0.5,0.0,57.2,9.8,16.1,16.1,0.5,0.1,59.6,10.6,13.8,15.0,0.6,0.0,63.3,10.5,11.3,14.0,0.6,0.1,"783,535","429,935","78,300","138,450","128,845","3,960",335,"575,860","329,285","56,525","92,615","92,440","3,050",290,"707,495","421,420","74,890","97,425","105,855","3,920",335,"508,820","321,960","53,545","57,405","70,995","3,005",290
Virginia's 11th,VA-11,51.1,9.2,13.9,24.9,0.5,0.0,53.1,8.9,12.5,24.6,0.5,0.1,55.7,9.5,11.7,22.1,0.5,0.0,58.7,9.3,9.9,21.1,0.5,0.1,"780,750","399,145","71,580","108,150","194,420","3,635",360,"603,530","320,505","53,765","75,715","148,395","2,895",310,"692,960","385,875","65,865","81,065","152,855","3,625",330,"526,160","309,090","48,955","51,850","111,230","2,880",280
Washington's 1st,WA-01,62.7,3.5,9.5,21.9,1.2,0.3,65.6,3.1,8.1,21.0,1.2,0.3,69.6,3.7,8.6,15.4,1.4,0.3,74.3,3.3,6.6,13.3,1.4,0.3,"768,495","482,130","26,915","73,065","167,995","9,425","2,110","598,565","392,695","18,745","48,290","125,875","7,025","1,830","664,185","462,025","24,715","57,145","102,505","9,180","1,925","505,020","375,270","16,685","33,355","67,225","6,820","1,655"
